Lp.;NrPociągu;Pojazd 1;Unnamed: 3;Pojazd 2;Unnamed: 5;Stacja;Przyjazd;Odjazd;Łącznie;Unnamed: 10;Liczba osób;Drzwi pojazd 1;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43
;;Nazwa;Błąd bramek;Nazwa;Błąd bramek;;;;In;Out;;Drzwi: 1;;Drzwi: 2;;Drzwi: 3;;Drzwi: 4;;Drzwi: 5;;Drzwi: 6;;Drzwi: 7;;Drzwi: 8;;Drzwi: 9;;Drzwi: 10;;Drzwi: 11;;Drzwi: 12;;Drzwi: 13;;Drzwi: 14;;Drzwi: 15;;Drzwi: 16;
;;;;;;;;;;;;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out;In;Out
1;19300/1;EN57AL-1654;---;---;---;Warszawa Grochów Grc;--;1.07.2026 00:03;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;---;---;---;---;---;---;---;---;---;---
2; ;EN57AL-1654;---;---;---;Warszawa Wschodnia;1.07.2026 00:14;1.07.2026 00:23;8;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;---;---;---;---;---;---;---;---;---;---
3; ;EN57AL-1654;---;---;---;Warszawa Stadion;1.07.2026 00:25;1.07.2026 00:26;4;1;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;---;---;---;---;---;---;---;---;---;---
4; ;EN57AL-1654;---;---;---;Warszawa Powiśle;1.07.2026 00:28;1.07.2026 00:34;2;1;10;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;---;---;---;---;---;---;---;---;---;---
5; ;EN57AL-1654;---;---;---;Warszawa Centralna;1.07.2026 00:34;1.07.2026 00:35;15;0;25;1;0;0;0;2;0;0;0;3;0;0;0;7;0;0;0;0;0;0;0;2;0;---;---;---;---;---;---;---;---;---;---
6; ;EN57AL-1654;---;---;---;Warszawa Zachodnia;1.07.2026 00:38;1.07.2026 00:39;7;5;27;1;0;0;0;2;1;0;0;0;2;0;0;2;0;0;0;1;1;0;0;1;1;---;---;---;---;---;---;---;---;---;---
7; ;EN57AL-1654;---;---;---;Warszawa Włochy;1.07.2026 00:43;1.07.2026 00:44;3;6;24;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;2;0;0;0;1;---;---;---;---;---;---;---;---;---;---
8; ;EN57AL-1654;---;---;---;Warszawa Ursus;1.07.2026 00:46;1.07.2026 00:47;2;7;19;0;1;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;2;0;0;1;0;---;---;---;---;---;---;---;---;---;---
